#{"t_start": 1767978918.5791104, "env_id": "None"}
r,l,t
-235.2998,1470,1.151853
-236.77002,1323,2.132164
-236.49988,1350,6.429919
-234.35974,1564,7.645818
-234.60979,1539,8.80918
-236.93991,1306,12.857949
-235.44977,1455,14.017246
-233.76976,1623,15.381996
-234.21986,1578,19.633807
15.0003805,3000,21.888174
10.000388,3000,27.209516
-225.29977,1470,31.50088
-235.72978,1427,32.578726
-4.999632,3000,37.94078
-235.47981,1452,39.090574
-236.37984,1362,40.17505
10.000322,3000,45.411391
-233.61978,1638,46.683651
-235.8298,1417,50.954293
-236.89006,1311,52.046237
-236.69992,1330,53.073387
-237.67992,1232,57.103524
-236.55992,1344,58.125405
-237.19992,1280,59.098023
-235.45978,1454,63.324294
9873.787,1388,64.390349
-235.88979,1411,65.573098
-236.10988,1389,69.649826
-235.37978,1462,70.758051
-235.7898,1421,71.844873
-4.9994297,3000,77.342561
-235.9298,1407,81.50929
10015.724,2587,83.517731
15.000378,3000,89.135306
-236.92017,1308,90.141798
-231.67989,1332,94.272725
0.0004015565,3000,96.599919
-230.45981,1454,100.740901
9888.965,1906,102.199965
39.999065,3000,107.687423
9894.032,1419,108.776739
25.000477,3000,114.195889
10.000485,3000,119.53459
-4.999449,3000,121.812054
-235.21977,1478,125.989769
-235.67978,1432,127.085237
9869.131,931,127.806265
25.000557,3000,133.128582
-4.999441,3000,138.419583
-4.999422,3000,143.757506
-235.9298,1407,144.838302
-235.76978,1423,145.921515
10129.873,3000,151.348004
9949.215,1442,152.443346
9885.462,1063,156.296357
-4.999466,3000,158.654776
10027.79,1798,163.024788
15.000338,3000,165.354058
10159.899,3000,170.757585
9989.404,1948,175.311843
9988.367,1846,176.733597
9960.877,1605,177.952461
10016.87,2700,183.035211
9895.454,1557,187.357166
39.99896,3000,189.687537
10006.602,2668,194.860249
9993.426,2351,196.638204
9892.074,1716,200.990888
34.999977,3000,206.394517
9954.525,1965,207.901031
-4.999445,3000,213.200554
39.99904,3000,218.550326
20.00038,3000,220.841969
30.000574,3000,226.201675
9896.591,2663,231.326106
9974.659,2982,233.611523
9913.844,1394,237.84726
10047.3125,1751,239.227241
10109.977,3000,244.622853
9871.573,1171,245.584226
39.998993,3000,250.862613
9900.41,2050,252.423676
9909.238,1435,256.72607
39.999916,3000,262.077334
9968.4795,2864,264.287535
25.000393,3000,269.746537
9955.559,2070,271.393969
10189.866,3000,276.801206
9884.807,995,277.557148
10009.958,1509,281.782857
95.00251,3000,287.220784
10159.896,3000,289.528847
39.999916,3000,294.9722
9991.065,1129,295.829399
9980.125,2527,300.752728
44.998573,3000,306.281934
34.99999,3000,308.552201
9891.427,1162,312.41439
20.000631,3000,314.785477
9908.972,2904,319.991072
9876.566,1171,320.870456
9932.496,1275,324.95247
9912.951,1316,325.9752
9900.734,2580,331.084358
20139.988,2554,333.084135
-236.18987,1381,337.345409
-235.24976,1475,338.521326
9898.807,1884,339.993897
9882.321,2239,344.879088
9900.195,1034,345.687607
9943.571,2866,350.923669
-237.06989,1293,351.898873
10.000387,3000,357.382105
10.000423,3000,362.85056
9875.608,1073,363.671839
10011.726,1687,365.054732
10.000408,3000,370.446868
-236.71985,1328,371.493231
9902.968,1309,375.418509
9911.156,1133,376.277053
9901.523,1171,377.175036
9911.941,1704,381.502917
10076.282,1659,382.825703
-4.999483,3000,388.329992
9951.824,1205,389.276254
9888.009,1806,393.652829
9877.636,780,394.258086
10014.63,983,395.058434
9941.346,1656,396.371675
9998.705,888,400.063154
9894.943,1508,401.215365
10.000389,3000,406.532235
9963.262,1353,407.581211
9925.29,1049,408.39097
10022.797,1299,412.50829
9906.31,1638,413.758397
9868.612,876,414.420212
9903.513,1362,418.529352
10026.897,1721,419.844716
20162.38,1751,421.195032
10089.989,2514,426.214735
9865.271,1538,427.429318
9889.508,1960,431.90057
9883.203,1331,432.918159
9984.958,1012,433.715263
9930.103,2521,438.727803
9926.014,1617,442.992767
9887.071,1715,444.301335
9912.363,1251,445.296571
20117.535,1762,449.668839
9912.077,1221,450.634162
9935.863,1102,451.481618
9932.134,2222,456.286587
9908.551,1865,457.741146
9921.33,1642,462.113608
9910.553,1075,462.949148
20217.064,1227,463.883061
9898.807,1886,468.402626
10011.098,1626,469.695763
20163.926,1928,474.140651
20101.066,1127,475.036891
9958.214,1836,476.483616
20126.9,1706,480.768126
9910.426,1554,481.949753
9988.982,1907,486.48553
9946.135,2127,488.164204
9888.331,1344,489.178508
9947.641,1775,493.452044
5.0004225,3000,498.682708
9987.653,1772,500.006223
9929.434,1459,501.141804
9962.995,2312,506.039783
9927.728,1291,507.072856
9897.151,1231,508.114906
10035.21,1544,512.401537
9966.898,1215,513.336783
-236.17981,1382,514.384578
9972.059,2722,519.562727
9925.5625,1571,523.714167
-237.55,1245,524.676979
-235.9099,1409,525.770004
9914.323,1450,530.072723
9916.261,1143,531.045753
9911.462,1653,532.348963
9980.147,2033,537.010883
9936.005,1123,537.887166
9904.271,1430,538.987249
10037.463,1765,543.424447
20138.1,1333,544.479471
9969.742,1499,545.728642
9889.271,944,549.448063
10019.59,1470,550.595341
9883.89,2393,555.509328
9899.781,1493,556.645357
9879.643,983,557.421398
9924.401,1950,562.065362
9903.336,2340,563.825774
20090.006,1015,567.670143
9932.838,1304,568.66882
9915.969,1608,569.913382
9989.558,1964,574.4325
9913.6045,1370,575.535939
10014.93,1507,576.676516
20130.055,2045,581.296238
9924.188,938,582.009503
9907.934,1313,583.011158
10090.472,2065,587.729759
9934.697,990,588.479612
9935.894,1608,592.822249
9949.478,1965,594.380165
20167.13,1745,598.897735
9896.342,1149,599.818025
9880.465,2051,601.374095
10053.939,1907,605.999475
10006.062,2128,607.665419
10047.203,1737,612.079354
9896.226,2130,613.747554
10004.357,2442,618.734649
9904.26,945,619.478179
9964.981,1516,620.65125
9912.257,1241,624.718961
9888.484,867,625.412207
-235.66988,1433,626.509105
9945.783,2089,631.318819
9884.754,1484,632.47863
9912.872,1301,633.486173
9938.478,1369,637.582993
9877.192,1723,638.888174
10022.584,2268,643.704129
9902.629,1276,644.698526
9920.156,1529,645.903821
9927.738,1787,650.358891
9927.199,1238,651.313654
9889.886,2994,656.847018
9982.369,1740,658.2098
9904.849,1992,663.009974
9948.312,2841,668.412252
9902.25,1240,669.387306
10051.714,2188,671.049494
-234.88977,1511,675.350338
25.000362,3000,677.665757
10041.484,2168,682.448446
9963.53,1377,683.530113
9962.832,1305,687.770658
9857.4795,763,688.37508
10124.965,3000,693.796395
9912.943,1310,694.864611
-235.65979,1434,695.966468
9970.183,1544,700.290639
9948.617,1380,701.389262
9918.831,2894,706.822769
10024.627,1491,708.047022
10095.387,2560,713.268139
-237.20992,1279,714.237574
9865.215,1034,715.073348
10044.014,1417,719.344805
20130.598,1593,720.624488
9997.713,1779,721.980488
9936.852,1209,725.978583
9877.991,815,726.601262
9904.549,973,727.341967
9922.392,1750,731.699779
20176.941,2242,733.406507
39.999107,3000,738.664412
9897.112,1222,739.61159
9897.571,1271,740.566893
9912.732,1288,744.659883
9926.238,2634,746.736111
10309.353,3000,752.149541
9920.903,1104,752.994011
9941.546,1666,757.327448
20244.412,1467,758.451963
10139.915,3000,763.986311
